psraid,internetUse,emailUse,internetYest,facebookUse,myspaceUse,linkedinUse,profileUse,twitterUse,payMusic,payVideo,payPhoto,payNews,payEbook,payGame,payRingtone,paySoftware,payApp,payAmount,payAmountMonth,household,emp,parent,sex,age,educ,race,inc,iphoneUse,twitterCheckFreq
101010,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,,0,2,4,1,2,35,7,1,7,2,7
101015,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,20,4,2,1,1,1,34,6,1,7,2,
101018,2,2,,,,,,,,,,,,,,,,,,3,4,1,1,47,2,1,1,1,
101022,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,74,5,1,5,2,
101023,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,,5,2,2,1,2,44,6,9,7,2,6
101028,2,2,,,,,,,,,,,,,,,,,,2,1,2,1,56,3,1,6,2,
101031,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,74,7,1,6,2,
101041,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,,1,2,1,2,2,63,6,1,8,2,
101042,2,2,,,,,,,,,,,,,,,,,,1,2,2,2,56,5,2,2,2,
101050,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,65,5,5,5,2,
101053,2,2,,,,,,,,,,,,,,,,,,3,3,2,2,64,4,1,2,2,
101055,1,1,1,1,2,2,2,2,1,2,2,8,2,1,2,1,2,9998,0,2,1,2,2,60,7,1,9,2,
101056,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,88,3,1,1,1,
101059,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,65,5,1,7,2,
101062,2,2,,,,,,,,,,,,,,,,,,4,1,2,1,54,3,1,6,1,
101070,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,70,3,1,3,1,
101077,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,1,18,2,5,1,1,
101079,2,2,,,,,,,,,,,,,,,,,,1,5,2,1,56,3,1,1,1,
101082,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,,0,2,1,1,2,36,6,1,7,2,
101083,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,89,3,1,4,2,
101085,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,77,7,1,4,1,
101090,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,62,3,1,5,2,
101096,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,,0,1,3,2,2,87,5,9,5,1,
101097,2,2,,,,,,,,,,,,,,,,,,2,4,2,2,63,3,1,99,2,
101109,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,63,3,1,5,1,
101113,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,60,3,1,2,1,
101125,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,20,2,2,4,1,2,41,5,1,7,2,
101128,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,56,3,1,3,2,
101139,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,70,6,1,99,2,
101150,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,,24,2,1,1,2,52,7,5,7,2,7
101151,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,67,3,1,7,2,
101152,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,4,1,2,36,5,1,1,1,
101155,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,75,6,1,99,2,
101158,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,100,10,2,1,1,1,44,7,1,8,2,
101169,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,,10,2,1,2,2,28,7,1,6,2,
101172,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,0,3,1,2,2,48,4,1,6,2,
101180,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,,0,2,2,1,2,28,5,6,6,2,7
101187,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,0,1,3,2,2,71,5,1,7,2,
101188,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,4,1,2,50,6,9,99,2,
101193,2,2,,,,,,,,,,,,,,,,,,2,1,2,2,61,4,1,99,2,
200002,1,1,1,2,2,2,8,2,1,2,2,2,2,2,1,2,1,,9998,9,1,2,1,39,3,3,4,3,7
200003,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,9998,9998,3,4,2,2,53,5,1,9,2,
200005,2,2,,,,,,,,,,,,,,,,,,2,2,2,2,63,3,2,4,2,
200018,2,2,,,,,,,,,,,,,,,,,,1,3,2,1,75,3,9,2,3,
200029,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,84,2,1,2,3,
200031,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,1,1,800,5,2,4,1,2,37,5,1,7,3,
200035,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,1,58,6,2,2,3,
200040,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,60,10,2,6,2,1,25,5,1,3,3,
200043,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,120,20,2,1,1,1,37,6,1,8,2,1
200052,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,58,3,1,2,2,
200055,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,150,50,2,1,1,2,57,7,1,7,2,
